Weekday,Return
Friday,0.0
Monday,-0.01805964847983776
Tuesday,-0.009419051255093123
Wednesday,0.012461324940420404
Thursday,0.01774499206955782
Friday,-0.008013488123234658
Monday,-0.007833709510942309
Tuesday,-0.002812697222566829
Wednesday,-0.006037241928171455
Thursday,-0.0091603998548635
Friday,0.013114215540169559
Tuesday,0.0021325617314147394
Wednesday,0.005048001618904063
Thursday,0.014870968705069654
Friday,-0.005482913391830158
Monday,0.002341883101001807
Tuesday,-0.013190532678377664
Wednesday,-0.01282447452990465
Thursday,0.009243706013008834
Friday,-0.012574953744366235
Monday,0.012384077502090696
Tuesday,0.014461139831507763
Wednesday,-0.003807808362686571
Thursday,0.01009515020145524
Friday,-0.0027653456089531407
Monday,-0.004475942990515902
Tuesday,0.010653140014521778
Wednesday,0.0005805096906468242
Thursday,0.009616722714004045
Friday,0.0041164617265201375
Tuesday,0.0015732502994574293
Wednesday,9.494746958083056e-05
Thursday,-0.0007135015082453401
Friday,0.006000278674132664
Monday,-0.00014198279129762348
Tuesday,0.002840867738320041
Wednesday,-0.0008497653831484043
Thursday,-0.001181305209493777
Friday,-0.003406299099984245
Monday,0.006313576118320618
Tuesday,-0.004104060964215006
Wednesday,-0.0042157905505291185
Thursday,0.0010941977701537378
Friday,-0.014064485645992277
Monday,0.004144632120273385
Tuesday,-0.016222045633284776
Wednesday,-0.002341768945464007
Thursday,0.012713938268181568
Friday,-0.0061319694638609645
Monday,0.013360354156223051
Tuesday,-0.0029724144154442693
Wednesday,0.012021525898516128
Thursday,-0.004561424096632183
Friday,0.008827047316759762
Monday,-0.0019486679186371254
Tuesday,-0.005618956012968801
Wednesday,-0.014653941216327904
Thursday,-0.002381446648884622
Friday,0.0022896316053986343
Monday,0.012199809726904045
Tuesday,-0.008739483804360626
Wednesday,-0.0035362353747260275
Thursday,0.0035973914076423696
Monday,0.0067331833299741906
Tuesday,-0.002646215191466239
Wednesday,0.0033770250891322906
Thursday,0.004423528873122251
Friday,0.0054570140387406605
Monday,-0.004522951983718659
Tuesday,0.0019129892809817142
Wednesday,0.004487180787963618
Thursday,-0.00028532717718332545
Friday,-0.011503316915265516
Monday,0.00913681924408527
Tuesday,-0.0011913792854770786
Wednesday,0.004914227164257712
Thursday,0.002516341689654311
Friday,0.002320626177706897
Monday,-0.004157943693822941
Tuesday,0.003178714063694077
Wednesday,-0.004114545908554868
Thursday,-0.010020509545684229
Friday,0.010841546817943026
Monday,0.0028474077985694013
Tuesday,-0.0114519203611958
Wednesday,-0.004116874733929743
Thursday,0.003989550061370473
Friday,0.013166091424578141
Monday,-0.004772664269500404
Tuesday,-0.0029913159796099986
Wednesday,0.00019062576348494176
Thursday,0.010427687057981585
Friday,0.0010837382294208722
Monday,0.0031067414705083785
Tuesday,-0.0003285113893789493
Wednesday,-0.0007043325471319807
Thursday,0.002912451757675294
Friday,-0.0023885354757251513
Tuesday,-0.010751870077019277
Wednesday,0.009492181715249126
Thursday,-0.0011282489620877412
Friday,-0.006212898623578989
Monday,0.0020366395391229197
Tuesday,-0.000992821912840669
Wednesday,0.002649646712430842
Thursday,-0.008446754020374425
Friday,-0.0017131935486298655
Monday,-0.006149499061804843
Tuesday,-0.00014403875702873048
Wednesday,0.01199340262927362
Thursday,0.003223479765349424
Friday,-0.007654928498988966
Monday,-0.004285309677305449
Tuesday,0.0054516151066383856
Wednesday,0.0016170250071938508
Thursday,0.010399545373653618
Friday,-0.004439215945759578
Monday,0.0051230859466839815
Tuesday,0.0007078886135989393
Wednesday,-0.007262855880576623
Thursday,-0.003040612238335627
Friday,-0.0001904565926686974
Monday,-0.02097026520769452
Tuesday,0.002093185039287349
Wednesday,0.00801550045397348
Thursday,-0.0009156511431123172
Monday,-0.0028457073676092515
Tuesday,0.006288605944505976
Wednesday,-0.016777211567777672
Thursday,0.0018089153614757605
Friday,0.012591313741027621
Monday,0.011037319646502342
Tuesday,0.0043380936443222495
Wednesday,-0.00033220253816879097
Thursday,0.008024280698371467
Friday,0.0008479216156325188
Monday,0.0005178149610296501
Tuesday,-0.003951330207939696
Wednesday,-0.001794546197018132
Thursday,-0.0056301273859752365
Friday,-0.010371969733077637
Monday,-0.005817345314920175
Tuesday,0.012282949226924966
Wednesday,0.006879293141716536
Thursday,0.0002370829341473701
Friday,-0.0015178380079158282
Monday,-0.003372857648155869
Tuesday,-0.0019542424314040736
Wednesday,0.003295371568802885
Thursday,-0.008187807662038415
Friday,-0.0019198305468122177
Monday,0.012599249062589468
Tuesday,-0.00902325330218301
Wednesday,0.0011981554488096346
Thursday,-0.0012445094575429527
Friday,0.0036424046488223727
