Weekday,Return
Friday,0.0
Monday,-0.022944407086664897
Tuesday,-0.014568602869997947
Wednesday,0.007722992999093625
Thursday,0.003284404555680576
Friday,-0.005237867395921469
Monday,0.0008776330896258512
Tuesday,0.0019727088516985347
Wednesday,-0.010282160472022685
Thursday,0.0004419964359390072
Friday,-0.000441801161400246
Tuesday,0.0026522146617948827
Wednesday,0.008818781854772695
Thursday,0.023601013265564408
Friday,-0.0002131642488673036
Monday,0.010249571642334976
Tuesday,-0.007186191821686228
Wednesday,-0.009793984947021328
Thursday,0.003655473515381536
Friday,-0.02056558592595004
Monday,0.008092779736764255
Tuesday,0.016489122306642123
Wednesday,-0.0032014538573410523
Thursday,0.00792283875806632
Friday,0.00021268978735111688
Monday,-0.015080979017822571
Tuesday,-0.01617411786488976
Wednesday,-0.004384083545946216
Thursday,0.015851868971394234
Friday,-0.00021662963403135119
Tuesday,0.0028181843961616604
Wednesday,0.008862582703299537
Thursday,-0.008999125703115674
Friday,0.009297537000066523
Monday,-0.04284501833833465
Tuesday,0.008057146015418848
Wednesday,-0.00599463455460636
Thursday,0.001786963875803904
Friday,-0.005128230464354511
Monday,0.005602922506397379
Tuesday,-0.0013373995165417707
Wednesday,-0.0011410346739418875
Thursday,-0.00388491587603057
Friday,-0.017893975628606174
Monday,0.0032704650381671922
Tuesday,-0.01397016301876042
Wednesday,-0.007083769455066169
Thursday,-0.0019024902076066887
Friday,-0.010007143117451434
Monday,0.004813711700323964
Tuesday,0.011975970786838541
Wednesday,0.019881335078592244
Thursday,-0.012067360219294887
Friday,0.02325567849402943
Monday,-0.008034639849620606
Tuesday,-0.004397429956827903
Wednesday,0.005114154763550038
Thursday,-0.0025443684471994077
Friday,-0.00023159916774384562
Monday,0.0016233856637473119
Tuesday,-0.013892112825402592
Wednesday,0.007748498454559494
Thursday,0.0053583754110213535
Monday,0.008575056880932408
Tuesday,-0.0006894705326915274
Wednesday,0.006438657922546387
Thursday,0.01759163240297079
Friday,0.0033677026370375622
Monday,0.012978567824169174
Tuesday,0.008172674825350112
Wednesday,0.005477789343931505
Thursday,-0.010023848701516958
Friday,-0.012546656406269395
Monday,0.014489394168424763
Tuesday,0.0019776229570813712
Wednesday,0.000219454824760712
Thursday,0.010962550931648662
Friday,0.034699380118741414
Monday,0.037099152566759434
Tuesday,0.001818843983276697
Wednesday,0.012104314039024457
Thursday,-0.010763596680709251
Friday,-0.008059716751854018
Monday,-0.002640537413304056
Tuesday,-0.03116103185348029
Wednesday,0.014295165813805744
Thursday,-0.001451163527401711
Friday,0.02698224121202464
Monday,-0.007882008932169726
Tuesday,-0.012222243726444426
Wednesday,-0.0035061194530849877
Thursday,0.007243256347491346
Friday,0.002876746415999332
Monday,-0.007375456420669502
Tuesday,-0.012384337910056996
Wednesday,0.009715373612703138
Thursday,0.0031373202377738
Friday,0.003127615950561325
Tuesday,-0.014757834549820825
Wednesday,0.008649866281312812
Thursday,-0.0025102235452766357
Friday,-0.003983917883198629
Monday,-0.0006314069151128754
Tuesday,0.006530256383023625
Wednesday,0.0025116919302599072
Thursday,-0.009185924298381498
Friday,-0.005899694098401187
Monday,0.004026872385075818
Tuesday,-0.007810869373195972
Wednesday,0.012127985766512195
Thursday,-0.002102099167217819
Friday,-0.00042145780655644666
Monday,-0.014962998299849815
Tuesday,-0.0019255733783485327
Wednesday,0.0012860446000799721
Thursday,-0.0002142129223364764
Friday,0.0014991480529547019
Monday,0.011973464607603734
Tuesday,-0.00042270450335824
Wednesday,-0.0031704779661771987
Thursday,-0.01102621069083709
Friday,-0.003001931031121896
Monday,-0.02860199087933002
Tuesday,-0.007969893014670326
Wednesday,-0.002678051025339245
Thursday,0.010964748783457212
Monday,-0.0203631945728332
Tuesday,-0.012200809512471822
Wednesday,-0.026761305083355943
Thursday,0.011046200746611223
Friday,0.01975810973821801
Monday,0.012536883489796535
Tuesday,0.002701448013348484
Wednesday,0.003367886283996313
Thursday,0.012306849754622371
Friday,0.0015475291145115033
Monday,0.006621075234982897
Tuesday,-0.0017541274603285473
Wednesday,-0.00768688535805595
Thursday,-0.0075256502208210785
Friday,-0.017172134924657856
Monday,-0.0040843529954676105
Tuesday,0.020733493132579103
Wednesday,0.006250219079368513
Thursday,-0.0015530210057177474
Friday,0.0013330182597679485
Monday,0.002218815888826109
Tuesday,0.002877537243476613
Wednesday,0.0194264289245214
Thursday,-0.009744285221465754
Friday,-0.005248460016455958
Monday,-0.0006594195994675811
Tuesday,-0.006158909197763518
Wednesday,-0.01991957440819303
Thursday,-0.0002284181054595935
Friday,-0.00045717395550681767
Monday,-0.006626684367398883
Tuesday,0.002760724985277907
Wednesday,-0.027988476536154216
Thursday,-0.014396922509137487
Friday,-0.029693547872127638
Monday,-0.052319577149827164
Tuesday,0.021353964725725483
Wednesday,-0.002294654056511192
Thursday,0.026322578168887837
Friday,-0.006474467680355645
Monday,-0.00576434091456135
Tuesday,-0.03806401328440323
Wednesday,0.010220134468795328
Thursday,0.00025966522467113506
Friday,-0.022821622252520823
Tuesday,0.03688947541957965
Wednesday,0.006654574690767356
Thursday,-0.006864515076520639
Friday,0.0015358826443625515
Monday,-0.00843560820808964
Tuesday,0.010569668772356213
Wednesday,0.016581688005270042
Thursday,-0.0208281668860798
Friday,-0.022808795642515145
Monday,0.008654562408561661
Tuesday,-0.017420680872157757
Wednesday,0.005027655348764482
Thursday,-0.010268302209807123
Friday,0.012503169025545048
Monday,-0.0239093211488286
Tuesday,-0.0029612753601744317
Wednesday,0.02267838852674231
Thursday,0.007655389277802405
